Comment,Designator,Footprint,LCSC,Quantity
1k,R15,R_0402_1005Metric,C11702,1
Conn_01x05,J5,JST_SH_SM05B-SRSS-TB_1x05-1MP_P1.00mm_Horizontal,C136657,1
220pF NP0,C17,C_0402_1005Metric,C1530,1
JST SH,J1,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,C160404,1
100,"R1,R2,R3,R4,R5",R_0402_1005Metric,C25076,5
100k,"R10,R11,R12,R13,R14,R17,R18,R19,R20,R21,R22,R23,R9",R_0402_1005Metric,C25741,13
10k,R8,R_0402_1005Metric,C25744,1
5.1k,"R6,R7",R_0402_1005Metric,C25905,2
PRTR5V0U2X,D1,SOT-143,C2827688,1
USB_C sink board 1.3mm,J4,USB4510031A,C3019717,1
100nf,"C1,C10,C11,C12,C15,C16,C18,C2,C3,C4,C6,C7,C9",C_0402_1005Metric,C307331,13
OPA354,U5,SOT-23-5,C36384,1
10uF,C5,C_0402_1005Metric,C466623,1
SK6812MINI-E,"LED1,LED2,LED3",SK6812-MINI-E,C5149201,3
1u,"C13,C14,C8",C_0402_1005Metric,C52923,3
XC6206PxxxMR,U3,SOT-23,C5446,1
74HC4051,"U4,U6",TSSOP16,C5645,2
500mA,F_USBC1,Fuse_1206_3216Metric,C70076,1
STM32F072CBUx,U1,LQFP-48_7x7mm_P0.5mm,C81720,1
74AHCT1G125,U2,SOT-23-5,C842287,1
